path,label,pca_features_string
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 2/r_204_100.jpg,Apple Red 2,"-6.510144711297516,-3.0935268272792773,-2.675193242618282,0.13426758949793088,4.872250865181962,6.024716111712981,10.29890478277812,3.315754103696617,-0.684022985541774,5.322318186339121,-1.6419877122376563,1.52858276624325,-0.6036822278895384,1.4802933360887802,-3.2887925025214217,0.5957348371513619,-0.2611901013946263,-0.8329100110261827,2.4605611881829,-0.6866636598272456,-3.593443741068539,0.06801906304207848,-5.1184482987910425,0.28757203985074226,-0.23747631559288354,0.8702603656618064,-1.1555749563063464,2.3397524035253507,-0.6281537071303729,0.2904361352369967,1.3262096767791314,-2.4112064540939007,-0.7243321798260663,-1.3639754187740154,-1.0767278794698918,-1.4245203304902658,1.8639623084101857,-0.34411466125876067,0.7131096474290889,-0.3341927593185499,1.3566312710582245,0.39702564623601483,-1.1489462533325443,-1.024460538802675,-1.1288013655599156,-1.0483576701302024,-1.3367356463963604,-1.9977864358383868,-1.263626880830739,0.3486026351097197"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/r2_104_100.jpg,Apple Red Yellow 2,"0.45106304356135407,-4.111814069607297,5.411220360914343,1.9258484549119252,9.973569354718322,3.6150940397807982,6.465730406098747,5.063558340586851,3.88730744125435,5.238117990879835,-3.9816972937901722,-0.09003789529168899,-1.08874848319187,2.6081622865240663,-3.8277013996054974,-3.0799229008620643,3.546093642445931,-0.03519567186083424,-1.9840141771711217,-2.274175491262929,-2.363965783950158,0.7560953628989419,-5.583381875228437,-0.09093668446758636,-1.5176808874593979,0.5274746114172032,-4.283982429173983,-0.2655518774246942,-2.425827049776945,-1.0695677659004021,1.9599224176271657,-2.831432525698986,1.382533559332893,-4.051378979693089,-2.0143294483897387,-2.1115841331424288,0.07635170558755112,0.9342761955906168,1.7759489225057474,0.9098648818804559,2.037268319198456,0.11621526274220731,-0.8536284655236727,-0.5264748838005404,-1.2046337833820857,-0.6205101989092057,-0.9642738742759329,-1.4340182609932386,-1.1227410717578312,1.862478780446654"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/r_176_100.jpg,Apple Red Yellow 2,"-4.07783123650605,-0.30856209004115237,5.978449287542205,1.039561105548407,6.666774542064279,1.9412069593085162,9.332889418950607,3.8259007239395575,2.690077052182425,3.480209788437521,-5.259551797763033,3.756533152095001,0.49790863394244633,5.199854199325537,-3.702928767270281,-1.6312083798297958,3.6347638284213977,-0.42273075982178476,3.2858992413164136,-3.1309380499140644,-4.43478558508901,3.7652400534696895,-7.66490168293215,-2.9655636766833195,-2.402902123931947,4.328268129204429,-1.3715795336066183,3.121666432210104,-1.7019205279451153,1.6604034603937774,0.1615784561307817,-1.4816500768543954,3.3576812158995932,1.0381245524582376,-2.0631180572417325,-2.0931249608288787,-0.07654245044977541,0.8547083582063052,-0.933262525662617,-0.08439209961193109,-0.31336966298840974,-0.40512054430711514,-1.0052730842502131,-0.007538661843335634,0.16662840493478273,-0.16357044740643795,-1.0594169992556544,-2.6146356081946176,-1.7264386391838227,0.6257717467599093"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/r_180_100.jpg,Apple Red Yellow 2,"-4.431153523600272,-1.069509372724683,6.180059998002689,0.04242725335074801,6.019512151979279,3.2059589638127575,8.4535402593407,2.364576543181772,3.1203698442123344,3.1615509956943506,-4.7472729167461925,4.332638893248057,-0.4933772877542683,5.108110401964135,-3.6898492403101453,-1.4961889163860895,3.2727174713261875,-0.7348027202766795,4.547035550141768,-2.763957392095513,-4.094760361137844,3.293959087470136,-5.719859334205133,-3.1662208984745996,-1.676088181476161,3.8578692958821375,-1.1500712124487316,2.34364158634161,-1.4750335197928386,1.3316861126179567,1.3327596374300643,-1.1309429766373076,4.6190092490590215,0.7078780112116911,-2.387832435596804,-1.6904129945140174,-0.6381844213942571,1.2272642804375427,-0.5274468645929671,-0.12147623281506163,-0.9498245911584423,0.13168342393964577,-1.1195215478190181,0.3618038633433041,-0.2763895797425138,0.0390190170050798,-1.086520824123506,-3.1112629549030277,-2.0120137637114692,0.11684886170968783"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/r_191_100.jpg,Apple Red Yellow 2,"-1.389184023512462,-1.1394992083402702,6.174190632457359,-0.5892899440801079,4.903309314617375,3.390673720300414,8.513454894612298,0.052077592039392176,5.1845451042048065,3.8471968496270903,-3.6700731357317666,3.4305729594655445,-0.29632338896447485,1.7333846217784488,-1.732387131153514,-1.6008149568754544,4.3562625136537365,-0.9834005615296515,3.872236845048686,-0.49156365223547677,-4.598264757441331,2.1305732903039454,-4.628703479096525,-1.750767220754311,-0.12481520325521099,3.260049683639332,-1.4473968357365439,3.622444382853178,-2.4325707374374357,0.04057071030393068,1.4060519786565322,-0.6483704819861401,5.291635556284073,-0.10166620443078989,-0.6392679916678186,-1.703737512194781,0.12275200959642056,2.117305819009719,0.6603063098922191,0.3877143563488884,0.07753195351744183,1.4484758582107835,-1.2923132115219258,-0.7937717046672794,-0.5226099207092363,-0.8170611690050468,-1.4560122999870466,-2.2813361768486513,-1.5261745744145585,1.4983278872031918"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Braeburn/267_100.jpg,Apple Braeburn,"-11.723156106427039,-2.7592778624121697,-6.889698383390263,1.9436067797329424,3.9496379050778407,5.988174800187322,8.440116409043066,4.432638632092025,1.633575611375941,6.834764805615324,-4.699107917311133,3.837932012045023,1.2942904708515135,-0.19313901520768956,-1.9722730439088494,-1.8610662854068651,3.3429945185153667,-0.341086126744754,0.07914392985528902,-3.7601123658346696,-4.435582125798733,0.7484409579829128,-4.473780913936419,0.0616721640847983,0.7084100129977502,2.1135811596361336,-1.3326352393879977,2.03638638517885,-1.7209348031902358,0.11762851998612552,-0.29380257735995274,-2.234066393416297,1.3508687184837993,-2.235698514516528,0.22195399832735913,-1.7811693546499774,1.2304745015346608,1.045300318199983,0.9203667803189681,0.7679339317957774,0.8612937532684581,0.3067837329078782,-0.7921051689547216,-1.1292682386089512,-0.5740788965312813,-0.7322022585039178,-0.7538132228587104,-2.1265184805986457,-0.7183063672088355,1.312114922873095"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/r_118_100.jpg,Apple Pink Lady,"-9.428780921259044,0.04147282251428301,-3.694460000059636,3.894314873124447,3.1865339655839717,3.0872905822575825,9.983328348399706,-0.45506334962742545,3.1366054670078745,0.8140669556567803,-4.240913223816742,2.2060384999576548,-1.0698347432566377,0.8599202239362109,-2.2222300539357045,-4.372205153364366,2.5886803647266694,0.03287775718699853,-0.16727010700159192,-2.338100885446196,-3.7824480301139176,1.8861006283908623,-6.001557418879017,-0.838318969953907,-0.45726614342710553,0.9872121089948809,-1.5931534968512122,0.3208491306473042,-0.5781935153031016,-0.1849134220833554,0.5941507958376658,-1.1082199527577585,2.0191649809587453,-1.112209733571276,-1.1002883866823625,-1.5087374951379189,0.3685018087986645,1.9235645986067895,1.998694168183704,1.0185975866578718,2.2618380989308857,0.793097197539884,-0.5772225848986978,-0.27738063715124023,-1.1808309861948982,-0.031382408322131135,-0.704657817689629,-2.4050089641526204,-0.4729894248642031,0.053866582743937165"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/r_197_100.jpg,Apple Pink Lady,"-7.993572443181875,1.1588846716070915,-4.10976845782598,6.356873939247882,2.8638785599828944,4.213011518658903,8.651807756661249,1.900525451573987,3.23709762102465,3.98336484533549,-5.67037553400945,2.3527755309053893,-0.7836742875780752,-0.1584832643245152,-2.1393025268972674,-3.8510261207436702,0.1908435785933527,-0.8530494933817288,0.8796520065610793,-0.9346047130959632,-2.5925696087052406,2.2121325446744953,-3.736512312186156,-1.9954332958882137,-0.8250083886399894,1.9633650241305591,-2.141684599412943,0.6707498036922271,-1.456107944201204,-0.23892475045368375,1.6021617627630862,-2.010318962465091,2.3309659677274674,0.16413835864633172,-0.8029754138351584,-1.76053247219672,-0.25564851252524845,1.633593628805556,1.2037781325266907,-0.03725849522546215,2.4572162564382913,1.010641824218763,-0.10991632128406138,-0.34853852251104633,0.2451833391024829,-0.7374467969181691,-0.03998232240991177,-2.062590150823553,-1.4841193851867647,1.491449228308086"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 2/152_100.jpg,Apple Red 2,"-11.425697310326038,-3.1537992476418637,-4.559930708836594,2.739329849459878,5.467450989888345,7.161513651680169,5.61941396047214,5.784799778932528,-0.6738795987547656,4.710198372761303,-5.977116512012548,0.9786753085231495,-2.775279201866812,-2.059948107200932,-0.4780852460627354,-2.2191666450692487,1.7169543038600679,1.6353682198846935,-0.4954686511162769,-1.6616802568420266,-4.692502138853537,-0.016514778552290412,-4.5992820904075655,-0.5583515984599694,-1.188880569899549,1.0267092371477697,-0.7987178663842305,2.2748950305923024,-2.6513569507996766,-0.5238686762966851,1.5668787696964954,0.3256176395008839,0.4094691250254853,-1.340383470287262,-2.732178655777331,-2.6355630408743296,1.5057531389405285,0.6501296438601578,-0.5342170771709794,0.03228619073869255,2.526577559647158,0.43474583491892804,-0.7712057540828363,-0.8633654286046424,0.32737568549024687,-0.8178085380846831,-1.3358166077828708,-0.7985463620814852,-0.4192304585588166,0.2857036472833877"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 2/r_201_100.jpg,Apple Red 2,"-7.060950684532871,-4.2761550323400455,-3.199593866288624,0.19719033136006234,4.849987345720057,6.028118487626615,10.27383689894143,3.253349312975524,-1.639077849327514,5.123840386065773,-1.7071816737048386,1.1054064445930252,-0.9866630168761646,2.027688515633343,-3.1671089111382638,0.35196285788855924,0.4934018435805221,-1.640608595941275,3.4356810435020737,-1.3132369165053492,-3.120802460865831,-0.8282007357823113,-4.108081269093672,-0.4137942341852885,-0.587016127494253,0.4683605112607328,-0.6623620777822152,2.1229766729186723,-0.3953301983869283,-0.5701317708131408,0.4050883151287394,-1.9113064934644357,-0.8801201523068987,-0.6782830406102432,-1.4459982035649368,-1.205188339844642,0.876636934300958,-0.2271738333049868,0.3549543655953431,-0.21666135895459554,1.1441919785437111,0.17722863712355685,-1.5881590539235992,-0.9372008967074937,-0.9399180706533955,-1.85052009822594,-1.8395333081283822,-2.153421984685737,-1.4957593358666963,0.34398085901687353"
