path,label,pca_result
s3://oc-p11-fruits-david-scanu/data/raw/Training/Raspberry/176_100.jpg,Raspberry,"1.3120309714675018,4.531084964426429,2.121900949920667,-12.487033411021716,-2.1776203635640736,0.784324954345092,0.05612038192219413,2.898293327283921,6.775493245740295,-6.441713992507577,10.342063332744091,-0.7454178005101674,-2.884750848173234,-1.8928430177389033,-2.704010816625783,-0.5658643079118428,7.690789715343064,3.5799399732452035,0.16889405203469446,-3.400990325104798,0.5563577679511892,1.8459117962098743,3.2571584035495773,-0.005118156714766929,-5.444869389863648,1.0159754093400581,1.0429765539138363,0.18689505138483553,3.883674169335655,3.6279210961281625,-1.0490695362841989,1.3162101658149028,0.9766799401060137,0.5189524589687071,-1.5891966356015668,1.8964740804758609,-0.4494618267591085,1.8962264580133577,-2.0842493362061947,-1.4052795079222533,-1.9344524227984965,1.3945563593273265,-1.766302135903867,-0.3714621816946398,1.1401346431969714,-2.1102038541375086,-1.1066110923845742,0.660939717888902,1.190983777360716,-0.8754391239143665"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Raspberry/179_100.jpg,Raspberry,"0.7950412416550241,3.6909173369376,2.4736198373747227,-12.104826054877032,-2.6867091428967056,0.3584601699001832,0.4383890443301235,2.989843345353508,6.845523831159693,-5.708817267019084,10.133885185296913,-0.06401911882097955,-2.71097931317357,-1.5217344555274708,-3.332950469093194,-0.7833838653031423,7.5702916108986775,3.263297619764644,0.12575853662886483,-3.0209727424233876,0.5259514051986212,1.6301593051341794,3.2674063837577307,0.2675796807825211,-5.464059220632988,0.42232947479469296,0.9277090620623707,-0.18052419491849614,3.5245516723688213,3.4266828029280108,-1.361999498361283,1.1823884174432677,0.9395889631968597,0.30467244794834486,-1.5403894634265918,1.885891450579131,-0.06592280525688887,1.591605689101979,-2.1763224763673192,-1.6643730319649606,-1.908892010975801,1.448958108238511,-1.7737968001926299,0.1033431971787442,1.3299001036823719,-2.0317535594495655,-1.177818239643113,-0.047455233920734814,1.3194017248162784,-1.140889652818595"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Pineapple Mini/170_100.jpg,Pineapple Mini,"-4.794244924231937,3.9235515361452773,2.2686923045355636,-2.5936375635832416,-1.992464821535369,2.1330460831220597,-2.933483562047129,-0.9024768349464048,5.100279628100137,-5.464574042962564,-2.4604217296866513,5.806152539084695,0.11731048585241013,0.4589042117259652,-6.053459866246741,2.4415782932617556,1.339722057855189,-0.5071802807270375,2.4678504149338822,-0.8256591174352169,1.6762104977681145,0.9236807049934718,3.7569283304283663,1.0291478606238362,-4.017746513814434,2.02925553589577,-1.658703855432303,0.1350926557829069,-0.7087925076880425,-2.807489262921273,0.4624540486460225,-0.2219986118709309,-2.538997348627567,-0.3280628954685682,-0.6405819431725952,0.10946744018036135,-1.1891739009874713,0.9291158975073084,-4.101805267113642,-0.26001003075152834,-1.452913379352603,-2.359370915539591,-1.5094266496917559,0.680192142798041,-1.0022458848791997,-0.7447835046404597,-2.8667267358708846,-2.0390423351321587,0.8836497710533303,-0.2628361875494218"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Raspberry/157_100.jpg,Raspberry,"0.12114749011642721,5.245341334278604,2.4495644379220782,-9.58297561874866,-2.354690832631784,1.5453731722563804,-0.38122484313589233,2.527609885361372,5.8753151071025105,-6.06079612067476,9.06546902362561,-2.392057537129633,-4.043239327986736,-1.723920238603321,-3.391100733069653,-0.9218238409397352,5.7957815534797765,3.934203091555165,0.6269483496438505,-1.8603068075979432,0.8108576329493155,0.7681512444279088,4.029891197866003,-1.1689992341650102,-4.860630643730901,1.026737913792355,1.5358335551722386,0.3260829417635287,3.191115314629586,2.3646832716898167,-2.5115011080452074,1.509911538527013,0.884100990904272,0.8826948434919655,-1.2139885520093368,1.1663063925592612,-0.3538382595982814,2.2136053107474307,-1.4454609531298668,-1.3787875669148357,-0.999662167604282,0.8472168671545569,-1.0939315788058415,0.015239370984082928,1.3140551479598703,-1.9670179528471305,-1.2053213439907777,0.5885463414612089,0.6773521886782692,-1.8379010356785017"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Raspberry/131_100.jpg,Raspberry,"-0.28028698198034047,6.957081798331175,3.277184682803801,-9.308197520873748,-3.487796416177716,1.0547126483554305,-0.11378138527624289,4.049870097451565,7.405090778757569,-5.554622502080102,9.333140901971538,-0.3186941033242587,-3.45842950031701,-0.7223194068798429,-2.5471062428240456,-0.6347879708540255,6.857569262249811,2.971131793912782,-0.7210885715896058,-3.2940049842603996,0.391544256657382,1.8243274193801737,4.2001812307300765,-0.19781161425970115,-5.726826287732242,0.7268929136996887,0.985963090571708,0.7033313524458907,4.374424568211181,3.0454594090701477,-1.0440542466307134,1.069779837316845,0.4329179303021915,0.4730462224234168,-1.1106348387180858,1.7469060058916897,-0.5540921258320988,2.0737307995702863,-2.160190870367471,-2.3759869344468063,-0.6313904244424042,0.9702324638770812,-1.9863733139853177,0.6207564717422908,1.0425167044629873,-3.5006389652656464,-1.0235426849477525,1.6329151680555787,1.0229644146003052,-1.7830623310990283"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Raspberry/272_100.jpg,Raspberry,"-0.27463604973836003,4.696555405390569,2.7026415611232393,-9.207737628987342,-3.9625367947644943,0.8541974345878264,-0.7732512849141974,2.7884553149826785,6.383279721138572,-4.391886381049831,8.687422083686595,-0.7083782849643829,-2.8763174660528232,-0.48584017474493113,-3.707871186135201,0.1988627649126991,5.772868631933719,3.5764679837130884,0.7901140795657307,-2.5283015657447385,1.5741100836818027,1.3075328565927204,3.2049125165369357,-0.9475148523274927,-6.003372671487045,0.7160372219244812,1.2772116738516242,0.7930936886080424,2.9872588274499874,2.654839153125322,-1.097334618908053,0.9783022380871542,0.4537686272435893,0.6611870041034218,-1.3604879877591127,1.554158165664149,-0.3165925492855552,1.7181782429229162,-1.8770715156643372,-1.2624067217398163,-0.365881988787778,0.7539270196191973,-1.8047012016718658,0.6707803225558151,0.8343517636779036,-1.9199847828480747,-1.4176997504107332,0.3135634956280829,1.2532369896379603,-1.6970321287605308"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Pineapple Mini/232_100.jpg,Pineapple Mini,"-4.227457621032215,3.626356536611713,0.5463802875006174,-4.756417627124989,-1.340814555101139,1.6300212802719483,-4.186998503531888,-0.1870839124184952,6.9022087856336345,-5.642597983650685,-0.12427295789362851,3.8231876771418616,0.27145321077409623,0.5138931296437698,-6.922121361592777,2.58465257323095,2.877029973263979,0.24134455449876777,3.7260912355418663,-1.852131484860976,2.8339216690728852,2.0359018553942603,3.9324644506158655,0.509263174297887,-4.2129028608440295,4.26145876515673,-1.6161416583711175,1.617142260684413,-1.102653436563694,-0.6026739632534835,0.3356053938532434,-0.3867373917070971,-1.4834094546747867,1.525878990121034,0.12104302549607104,-0.19505885137006518,-0.6742495044566514,0.7781446775876097,-4.697121927031372,-0.43978895768360365,-0.9192777287499814,-2.3810387908962696,-1.55276485324024,1.7411061518023796,-0.4113517617935837,-0.8956391959227565,-1.9926246030357357,-2.034375917472215,2.256642061951531,0.14385151398366122"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Raspberry/128_100.jpg,Raspberry,"-0.2524678078839829,7.048295338291833,3.331875883334158,-8.685095497223948,-3.289385597660898,1.3632012751814604,-0.7352388738919511,4.215601245239637,7.137885121057423,-5.923924870478206,9.703283836563234,-0.41969628095079936,-3.6274929416227835,-1.2787432525871074,-3.3401221012690216,-0.7092691164429002,6.4833764089294315,2.6604937439167817,-0.5392597755248034,-2.96818418988828,1.2400003408790405,1.375463829036448,4.676657735562098,0.47883216372838255,-5.997815289742225,0.7105760645068027,1.4614063190000584,0.706010458511503,4.293358706598384,2.2583516483528476,-1.6024758788632356,1.1023345208135613,0.7751966332973288,0.7182285953631187,-1.014259218335408,2.174931380023717,-0.4211360338308177,2.011400632067231,-2.6334821909501214,-2.5625779037967993,-0.7624452472277302,0.8104984666002538,-1.4029565691196502,1.2644810801161968,1.702258675605786,-3.933710380445989,-0.9945266477030088,2.0277252421029868,0.6687228452799663,-1.427694749354701"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Raspberry/132_100.jpg,Raspberry,"-0.4267721555277614,7.222252219833985,3.418249149717323,-9.204932253686232,-3.014079485615306,0.6587282488837942,-0.20969468514862316,3.791706103522293,8.337661378922936,-5.5699581790083545,10.479153083001128,-0.05206753799039481,-3.6200603453786804,-1.1243797430065259,-3.685961568296132,-0.1599757167307512,6.422690847898377,3.1765157184556916,-0.4304035130492751,-3.398526783827609,1.2280571159217042,2.0493499901084316,4.842452114735117,-0.4197090457556787,-6.239628028693766,1.3205603301306874,2.046916487423877,0.89462765111305,3.5771509277217084,2.824982059495568,-1.516809190915733,1.0555609938736625,0.5555390358226303,1.337431235968857,-0.9841447567872698,2.057914683886865,-0.24182832901137105,1.7351807884626207,-2.4287796180718244,-2.5964614275466813,0.1330493417830589,0.9024318392706385,-2.1478853136547817,0.9947766090255585,1.7138487363250987,-3.3354437140759097,-0.7885108071485449,2.246669839186887,1.6504311923906465,-1.3634251684528609"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Raspberry/175_100.jpg,Raspberry,"1.914771330695621,4.389632005833418,1.8459387030892693,-12.201424817592477,-1.884247210666615,1.2218868985577107,-0.8846433190236476,2.8953167134265807,6.385928059569454,-6.532368649571329,10.128997274021454,-1.3542899291635566,-2.9134054317100855,-1.6722753267867425,-2.436183043945285,-0.24765926680430228,7.247506035048197,3.6397130429390794,0.4618410984677464,-2.86245221345912,1.541359020616247,1.2821915362070488,4.176888887920269,-0.0395509240900087,-5.910610339247221,1.1313549536400964,1.1539920257583505,0.4161088300522243,2.6091133916087603,2.5163074539668746,-1.2982359175735019,1.1672224776062363,0.6753689579307625,0.5872041065060601,-1.7580182701031928,1.9771137301147372,-0.4826362224178754,1.9061424330859624,-2.5148247777433,-1.2840652436277356,-2.0267314968861574,1.4838994162284276,-1.9675959512922432,-0.4017294858499503,1.535016894206435,-1.7609093910998888,-1.2529032216436284,-0.029981646259708748,1.582439578713169,-0.9813572472622435"
