path,label,pca_features_string
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/r_202_100.jpg,Apple Golden 1,"5.092314961158439,3.2217631203879793,4.245329626138265,2.509805308470257,-0.36132283829840406,2.269900643488046,-0.9602589246800072,-0.10448520846345266,4.73959379732731,4.589300825655825,-4.3588341015962895,-5.796734346039898,2.3669930574054847,5.530593939716209,1.1169796433947972,1.4220784583285218,0.6845724945967442,4.775601836569058,2.9418006114466704,-0.5935646602461756,-0.8643859683267036,0.7160649041633913,0.8782019735542422,0.45756819730727244,2.3152553583453384,-0.23053027442471763,-0.338675333949467,2.263408267565062,-1.0865545072753369,3.123177794191102,1.9556998097175242,-0.7331420528161329,-0.8820449260332431,1.5932384046312915,-0.07753297918459429,-0.6710854102459274,-1.2803832215936501,0.5578945748748788,-0.5014345836874589,1.7640909693036833,-2.0190113009197264,1.366157525793242,-1.4682323722731936,-0.02996095010628918,-1.0890617999811094,-0.03620105894410458,0.5824064499497674,-0.8140718106428456,0.2763523360215016,0.30507364760609496"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/r_173_100.jpg,Apple Golden 1,"4.029035469859446,-4.435229944426499,-1.5162926902526297,6.333654167445994,-0.6514249205507344,0.3764818453851612,-0.8905895133482629,-4.684650786514155,3.0400126831342056,1.633085473011818,3.9706058260731343,-4.843658928104931,3.862195517563953,6.64090361655167,1.4749401994928542,0.6232332927354771,-0.8067623029040357,7.163392916164237,3.508783088126549,-0.9949272916767695,3.2055136029139875,1.2895327999732829,1.7349340932666752,-0.08278293502564334,2.6111737193802504,-1.4684227806935806,0.15703159099324795,0.04413088034263499,-0.648554337809755,0.9374350830908852,1.9382225899207213,-1.3707439871245994,-0.03946391752285493,0.2076013389892828,1.0121076300511287,0.04018369317998454,-1.872861227863505,-0.11710454495240456,0.08595146819023573,1.7661497848190786,-0.8996256918882303,0.25212105043431315,-1.458742484241523,0.20256072232696293,-0.18076117013692442,0.5958383296587828,0.07563177073911719,-0.41126678198786537,-0.8670482749359631,0.8144043216170344"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/r_129_100.jpg,Apple Golden 1,"4.9526290903694425,-1.6463637921510745,0.6258540342512231,5.291532498235292,-2.811478721749473,-2.657704675971701,-2.998666851091661,-2.1663862010147885,3.3681033542153562,0.6587768759349315,0.4885770299795371,-1.9543982636550656,-0.05713280576793842,3.8377821442591133,1.224439882136487,-3.301426240268806,0.18796364506601984,6.858723387419756,3.9148889339850195,-0.8126899474746248,-0.9093472119324414,2.6494693827533804,4.213739324609681,-0.742005185447665,1.6849864406334485,-0.9756124397191932,-0.5192237466639151,1.8588951135996237,-2.7185022870898026,2.2492421578542614,2.305275234252859,-1.1696036338874702,-1.6267397894144533,1.0323871872996926,0.5916174843366832,-0.88629406010172,-1.29515420984959,0.8416648133942135,-0.2812519722752151,0.8372621131422953,-0.9883899766882771,0.532094892587861,-0.7917953532359208,0.6279280677740552,-1.0013387823090403,0.4585816845291729,1.4315399471749746,-0.6754810566305162,-0.9219578173782833,0.2387708174208919"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/r_178_100.jpg,Apple Golden 1,"5.114312388698927,-2.5746216303759555,1.6331761280700288,6.101681710558231,-1.6725784844430405,-0.3123322596206147,0.03368623574979428,-5.178443375083004,4.398714318643502,2.6691148415725943,2.210722456633832,-5.776181328915827,4.811356343018077,7.417747935650016,1.4075885456466148,0.9961154846385749,-1.704743446809144,8.597743759595792,3.621386918444538,-0.9205785013963392,3.492246660504868,1.569439350919652,1.2092036892704596,-0.3037938589948191,2.5573703688129696,-1.7518199780364925,0.03722596805478911,1.3602415414033193,-0.5411245675568104,1.3867569743671184,1.3873999493901636,-1.478955702197605,-0.8679948190167573,1.2065862178314715,1.4662420354533459,-1.039536763961885,-1.12284113947689,-0.4028498286883618,-1.781180583557271,1.837548156061641,-2.316987675093002,0.9989189510797282,-1.2338251104242957,1.6142919046436317,-1.0511113752363097,0.5720155448194496,1.8731363381051425,0.8163650082955562,0.7125859780685105,1.2630652623728926"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/r_181_100.jpg,Apple Golden 1,"5.52239624188297,-0.8434603150167223,2.7562918441737985,5.183174184038263,-1.8581491739384723,0.0808642798327762,0.6604534523508707,-4.036931173549095,3.7578079545302314,2.6889181637028554,1.066786418620048,-5.26662365167262,4.246021604291504,6.505866725701899,1.6668490151082804,1.1824410543647335,-1.4609853864539912,7.771440344478342,3.247320718233506,-0.842679539752675,3.545410174775041,2.0476471400524616,1.0049468261806829,-0.2831373362953964,2.3961095573506452,-1.8416937658594388,-0.5430937520068406,1.8039308683570476,-0.5013742189598053,1.5494593855641654,1.2317534154651957,-1.5237162795511978,-0.7804556019956544,1.5290452602645765,0.9453452461422294,-0.39264167285505935,-0.6219655830625064,0.21446222182765934,-2.1477696945858704,1.5958929729341225,-2.2468811370873536,1.2086305065121137,-1.1112947149477495,1.3589498776744495,-1.0174620162993975,0.6492972324695486,2.2936336441924126,0.5962693927003582,0.383325017296156,0.8002214838528048"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/r_180_100.jpg,Apple Red Yellow 1,"1.4799333775309005,-8.027529951167983,1.3877622864119514,14.717372107198281,-7.854010572513936,0.4700481310396148,-0.2066183598545605,3.1491576145728377,4.820460865145108,1.9766890366835306,1.5009871915667141,-3.459894992560418,-0.48787658202821854,4.881521558047554,1.0849284904426608,0.9490043232848084,-0.8823883096921485,5.479921363329379,3.0301796143673436,0.06001564386967707,-0.7080317735257561,1.624805204577389,2.701024441042435,0.4855351257490427,3.701386860953945,-1.5771770871672024,-2.977830676451806,1.201944101541399,-0.2046944199940338,1.0310403370501322,2.323194864503146,-0.6818254673841283,-0.41697815006582084,1.7167569352423462,1.7665115565323177,-0.429398065614607,-0.9895267849473106,0.3172513791073063,-0.3919547446226704,1.5059349456650792,-1.9203794957481102,0.4280772363386596,-1.900538698202991,0.534786385406569,-0.514370398965075,0.2399361813212788,0.9013454372991707,-0.8531681172894948,-0.6574422112387235,0.6698836137448285"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/r_130_100.jpg,Apple Golden 1,"5.252112054912733,-2.4193499682270034,0.6981911828598036,5.451754988356549,-3.3339102350869463,-2.8170159855954378,-3.02895170313577,-2.853066986944717,3.5094001651234517,0.4098569846223345,0.4924907942322268,-1.9656252816936886,-0.13735115789420413,4.110174241883703,1.0083238679690134,-2.9952759751010194,0.3140410577748885,7.278236118014831,4.239501064300743,-0.8300130090037523,-0.26453898596034814,1.9579637554112592,3.957625779876873,-0.8561423516566891,1.6439138339738522,-1.0149320327996545,-0.07209978005602698,1.978464356865693,-2.3418640160133717,2.5554356512806193,2.1659459583935274,-1.819062819956575,-1.4908030634894365,1.0337149235679888,0.7526301387974964,-1.600726287332506,-1.2129744859074236,0.8052468988496482,-0.03394509796582789,1.6383690559409956,-1.1638382562390106,0.9885219956317541,-0.689647730650871,0.9582984663320476,-0.8616119369465042,0.4384498016795515,2.1209585634963917,-0.48834979366887094,-0.5387005656284236,0.6415661520221987"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/r_162_100.jpg,Apple Golden 1,"3.851626184501907,-5.4842370035129315,-2.813089833789515,7.004162439661165,-0.5093091561244584,0.5506257552063815,-2.0216682258073924,-3.581530555692319,1.5681881165885305,1.755721644302096,5.5290408943426295,-2.2060137907662467,1.9422308321196047,3.930524389309938,0.22346875510271075,-0.10383354112992088,-0.1875001928651334,4.742747316779829,4.987234972144993,-0.3347252293758756,-1.1763971983546462,-1.2731635628967246,2.889093443176899,-0.44500215042361435,4.209631089008173,1.2510711275438005,0.5075125842756795,1.834703681552658,0.26437843015517537,2.498615087177394,3.1124467974021948,-0.23901660236896166,0.40152205511391087,0.7694185838426648,0.23007476238983965,-0.7221428839152968,-1.968832260698739,-0.14139642540016698,0.3644290291336394,1.3595016104177746,-2.657916503098465,1.176868456341675,-1.5504331532697218,0.2881162998443734,-1.2741899216481993,-0.366335839989554,-0.5229413345364303,-0.7991419229852884,0.25593194623430193,0.2226876875298018"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/r_158_100.jpg,Apple Golden 1,"3.5112102595494554,-6.031162150609278,-2.284094793855909,7.705153580770759,-1.509052079335594,-0.08066048313674774,-1.451183630116022,-3.6281988777793304,2.081741861041239,1.3746851036251913,5.864580900095155,-2.4013727529555515,1.5467449578043881,4.427476497541469,0.03448338678483329,-0.3740589825813324,0.015217554340983382,5.408613584125576,5.658194879968156,-0.14914681453829293,-2.3667061248489323,-0.9237368288685006,3.259676547064261,-1.5606195933091185,4.1107462160343555,1.124943748837013,0.5609096931204454,2.0844496256722485,-1.277860222710672,3.1296968337920372,2.5968448428808553,-0.7649732225396373,-0.366794777495971,1.3772837223224819,-0.38366151035647705,-1.078893309124384,-2.041525769975777,0.15810157273732295,-0.17298663265912337,1.6482168163827418,-3.0280881703170013,1.272449576247599,-1.5538108373668207,0.9952013932003944,-1.264734464910708,-0.5985860249887599,0.06114544589351028,-0.07172175347072976,0.8833477421504772,0.29621657959536196"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/r_154_100.jpg,Apple Golden 1,"3.298235397052784,-5.579076590646577,-2.649159817748294,7.181771998744193,-2.3408762878762857,-2.273129038668568,-1.9713789848486436,-3.1375488407518457,3.0682392163420658,2.021071300950554,5.141598566810233,-2.004349324823975,1.2267600226564532,5.07217423350526,0.9932887551631694,-0.25134939412386903,1.0130412269395477,5.599938057917091,5.43865018013559,-0.7650966193159153,-1.7903424407351471,-0.061082217004168535,2.342202275852638,-1.1245397898241791,3.46280309859223,0.21077054078020627,0.6285498382240651,2.542602703450707,-2.1049289429020335,3.1564215949072336,1.9986768578237122,-1.0575823543813487,-0.3411925226506084,1.2006593148941422,0.03251957259607323,-1.0564699529165633,-1.3872920333386238,0.5614767313264616,-0.9733820763340287,1.908431616225901,-2.9259543613477,1.8508607343634325,-1.388338327248509,0.7553879219946634,-1.0382485781846769,0.07522288024638121,1.6673099888325633,0.7774178100986607,0.06653704435047064,1.0735280362928097"
